# timestamp x y z roll pitch yaw
1577858936602435 -848.309278 -497.796548 5.300107 0.012890 -0.004513 2.332572
1577858936613021 -848.353338 -497.758526 5.299769 0.012891 -0.004515 2.332764
1577858936624154 -848.468099 -497.630741 5.298621 0.013082 -0.004706 2.332762
1577858936634518 -848.512159 -497.592691 5.301283 0.013082 -0.004897 2.332760
1577858936644971 -848.626920 -497.464905 5.300135 0.013082 -0.004897 2.332760
1577858936655596 -848.670980 -497.426864 5.301797 0.013082 -0.005088 2.332758
1577858936665889 -848.785741 -497.299079 5.300649 0.013273 -0.005278 2.332757
1577858936676454 -848.835692 -497.253558 5.302244 0.013273 -0.005469 2.332755
1577858936686804 -848.950453 -497.125763 5.302096 0.013273 -0.005660 2.332753
1577858936697099 -848.994513 -497.087732 5.302757 0.013273 -0.005660 2.332753
1577858936707871 -849.109273 -496.959927 5.303609 0.013275 -0.005853 2.332943
1577858936718284 -849.153334 -496.921905 5.303271 0.013275 -0.006234 2.332939
1577858936729399 -849.268094 -496.794101 5.304124 0.013275 -0.006234 2.332939
1577858936739382 -849.303444 -496.749210 5.304718 0.013275 -0.006425 2.332937
1577858936749931 -849.432807 -496.620785 5.305569 0.013084 -0.006616 2.332936
1577858936760581 -849.432807 -496.620785 5.305569 0.013084 -0.006616 2.332936
1577858936771168 -849.432807 -496.620785 5.305569 0.013084 -0.006806 2.332934
1577858936781493 -849.750448 -496.289133 5.306598 0.013276 -0.007189 2.333122
1577858936792070 -849.785799 -496.244251 5.306193 0.013276 -0.007570 2.333118
1577858936802512 -849.909270 -496.123316 5.306111 0.013276 -0.007570 2.333118
1577858936812740 -849.950511 -496.070935 5.307638 0.013467 -0.007761 2.333116
1577858936823091 -850.073981 -495.949982 5.309558 0.013657 -0.007952 2.333115
1577858936833563 -850.109331 -495.905091 5.310153 0.013657 -0.007952 2.333115
1577858936843958 -850.232801 -495.784137 5.312071 0.013848 -0.008143 2.333113
1577858936854359 -850.232801 -495.784137 5.312071 0.014039 -0.008143 2.333113
1577858936864678 -850.268151 -495.739246 5.312666 0.014231 -0.008145 2.333303
1577858936875430 -850.391622 -495.618301 5.313585 0.014231 -0.008145 2.333303
1577858936886069 -850.556334 -495.444995 5.314031 0.014231 -0.007954 2.333305
1577858936897480 -850.591684 -495.400104 5.314627 0.014231 -0.007954 2.333305
1577858936907700 -850.715155 -495.279159 5.315546 0.014231 -0.007572 2.333309
1577858936917997 -850.750505 -495.234268 5.316141 0.014231 -0.007572 2.333309
1577858936928831 -850.873976 -495.113324 5.317060 0.014040 -0.007191 2.333313
1577858936939460 -850.909325 -495.068433 5.317654 0.014040 -0.007191 2.333313
1577858936950330 -851.074038 -494.895117 5.319100 0.013850 -0.006811 2.333509
1577858936960972 -851.197509 -494.774182 5.319020 0.013850 -0.006621 2.333511
1577858936972447 -851.232858 -494.729282 5.320614 0.013659 -0.006621 2.333511
1577858936983170 -851.356329 -494.608337 5.321533 0.013469 -0.006430 2.333512
1577858936994311 -851.356329 -494.608337 5.321533 0.013469 -0.006239 2.333514
1577858937004456 -851.391679 -494.563446 5.322127 0.013469 -0.006048 2.333516
1577858937014672 -851.556391 -494.390140 5.322575 0.013278 -0.006048 2.333516
1577858937024891 -851.679861 -494.269177 5.325493 0.013278 -0.005858 2.333518
1577858937036262 -851.715212 -494.224295 5.325088 0.013278 -0.005858 2.333518
1577858937046494 -851.838682 -494.103341 5.327007 0.013087 -0.005667 2.333520
1577858937056793 -851.874032 -494.058459 5.326602 0.013088 -0.005478 2.333714
1577858937067697 -852.003394 -493.930025 5.328453 0.012897 -0.005287 2.333715
1577858937078659 -852.038744 -493.885144 5.328048 0.012897 -0.005287 2.333715
1577858937089338 -852.162216 -493.764209 5.327967 0.012707 -0.005097 2.333717
1577858937104114 -852.321037 -493.598401 5.326481 0.012707 -0.005097 2.333717
1577858937114214 -852.356386 -493.553491 5.329076 0.012516 -0.005097 2.333717
1577858937124492 -852.479857 -493.432547 5.329995 0.012325 -0.005287 2.333715
1577858937135038 -852.515207 -493.387656 5.330589 0.012325 -0.005287 2.333715
1577858937145600 -852.644570 -493.259250 5.329440 0.012325 -0.005287 2.333715
1577858937156440 -852.679920 -493.214349 5.331036 0.012134 -0.005669 2.333712
1577858937167783 -852.803390 -493.093396 5.332954 0.011945 -0.005862 2.333902
1577858937177866 -852.838740 -493.048514 5.332549 0.011945 -0.006052 2.333900
1577858937188720 -852.962211 -492.927560 5.334468 0.011754 -0.006243 2.333898
1577858937199101 -853.003453 -492.875198 5.333995 0.011754 -0.006243 2.333898
1577858937209965 -853.126923 -492.754245 5.335915 0.011754 -0.006243 2.333898
1577858937220779 -853.162273 -492.709363 5.335509 0.011754 -0.006243 2.333898
1577858937231052 -853.321094 -492.543527 5.337022 0.011563 -0.006434 2.333896
1577858937241854 -853.450457 -492.415122 5.335874 0.011563 -0.006434 2.333896
1577858937252557 -853.485806 -492.370212 5.338469 0.011372 -0.006243 2.333898
1577858937263048 -853.609278 -492.249286 5.337388 0.011182 -0.006243 2.333898
1577858937273420 -853.644627 -492.204376 5.339983 0.011182 -0.006243 2.333898
1577858937284247 -853.768098 -492.083451 5.338902 0.011182 -0.006243 2.333898
1577858937295200 -853.803448 -492.038560 5.339497 0.010800 -0.006243 2.333898
1577858937306098 -853.926919 -491.917625 5.339415 0.010801 -0.006245 2.334089
1577858937316673 -853.968160 -491.865235 5.341943 0.010229 -0.006054 2.334091
1577858937327189 -854.091631 -491.744290 5.342861 0.009466 -0.005864 2.334093
1577858937337251 -854.126981 -491.699399 5.343456 0.009085 -0.005673 2.334095
1577858937348248 -854.250451 -491.578455 5.344375 0.007750 -0.005293 2.334290
1577858937358498 -854.415165 -491.405167 5.342821 0.007371 -0.005105 2.334484
